sample	type	index	index2	index3
BC04_96	SC	nonTumor	Immune	Tcell
BC04_Pooled	Bulk	Tumor	Tumor	Tumor
BC07_01	SC	Tumor	Tumor	Tumor
BC07_03	SC	nonTumor	Immune	Tcell
BC07_04	SC	nonTumor	Immune	Myeloid
BC07_06	SC	Tumor	Tumor	Tumor
BC07_07	SC	nonTumor	Immune	Myeloid
BC07_08	SC	Tumor	Tumor	Tumor
BC07_09	SC	nonTumor	Immune	Myeloid
BC07_12	SC	Tumor	Tumor	Tumor
BC07_15	SC	Tumor	Tumor	Tumor
BC07_16	SC	nonTumor	Immune	Tcell
BC07_18	SC	Tumor	Tumor	Tumor
BC07_20	SC	Tumor	Tumor	Tumor
BC07_23	SC	nonTumor	Stromal	Stromal
BC07_24	SC	Tumor	Tumor	Tumor
BC07_27	SC	Tumor	Tumor	Tumor
BC07_30	SC	nonTumor	Immune	Tcell
BC07_31	SC	Tumor	Tumor	Tumor
BC07_35	SC	Tumor	Tumor	Tumor
BC07_36	SC	Tumor	Tumor	Tumor
BC07_38	SC	Tumor	Tumor	Tumor
BC07_39	SC	Tumor	Tumor	Tumor
BC07_42	SC	nonTumor	Stromal	Stromal
BC07_43	SC	Tumor	Tumor	Tumor
BC07_44	SC	nonTumor	Stromal	Stromal
BC07_50	SC	nonTumor	Immune	Myeloid
BC07_52	SC	nonTumor	Stromal	Stromal
BC07_55	SC	nonTumor	Immune	Myeloid
BC07_56	SC	nonTumor	Immune	Tcell
BC07_57	SC	Tumor	Tumor	Tumor
BC07_58	SC	nonTumor	Immune	Myeloid
BC07_59	SC	Tumor	Tumor	Tumor
BC07_60	SC	nonTumor	Immune	Tcell
BC07_61	SC	nonTumor	Immune	Tcell
BC07_63	SC	nonTumor	Immune	Bcell
BC07_65	SC	Tumor	Tumor	Tumor
BC07_66	SC	Tumor	Tumor	Tumor
BC07_67	SC	Tumor	Tumor	Tumor
BC07_68	SC	nonTumor	Immune	Bcell
BC07_69	SC	nonTumor	Immune	Tcell
BC07_72	SC	Tumor	Tumor	Tumor
BC07_73	SC	Tumor	Tumor	Tumor
BC07_75	SC	Tumor	Tumor	Tumor
BC07_78	SC	Tumor	Tumor	Tumor
BC07_79	SC	nonTumor	Immune	Myeloid
BC07_80	SC	nonTumor	Immune	Bcell
BC07_83	SC	nonTumor	Immune	Myeloid
BC07_87	SC	Tumor	Tumor	Tumor
BC07_89	SC	Tumor	Tumor	Tumor
BC07_93	SC	nonTumor	Immune	Myeloid
