patient	sample	Is_Tumor	Run	lane	ProcessingMethod	10x chemistry (verType)
C138	C138_T_0_0_0_c1_v2	Yes	SRR15653181	C138_T_0_0_0_c1_v2_H5TVMBGX7 L002	unsorted	v2
C138	C138_T_0_0_0_c1_v2	Yes	SRR15653182	C138_T_0_0_0_c1_v2_H5TVMBGX7 L003	unsorted	v2
C138	C138_T_0_0_0_c1_v2	Yes	SRR15653183	C138_T_0_0_0_c1_v2_H5TVMBGX7 L004	unsorted	v2
C138	C138_T_0_0_0_c2_v2	Yes	SRR15653184	C138_T_0_0_0_c2_v2_H5TVMBGX7 L001	unsorted	v2
C138	C138_T_0_0_0_c2_v2	Yes	SRR15653185	C138_T_0_0_0_c2_v2_H5TVMBGX7 L002	unsorted	v2
C138	C138_T_0_0_0_c2_v2	Yes	SRR15653186	C138_T_0_0_0_c2_v2_H5TVMBGX7 L003	unsorted	v2
C138	C138_T_0_0_0_c2_v2	Yes	SRR15653187	C138_T_0_0_0_c2_v2_H5TVMBGX7 L004	unsorted	v2
C138	C138_T_0_0_1_c1_v2	Yes	SRR15653188	C138_T_0_0_1_c1_v2_HW7JMBGX7 L001	CD45pMACS	v2
C138	C138_T_0_0_1_c1_v2	Yes	SRR15653189	C138_T_0_0_1_c1_v2_HW7JMBGX7 L002	CD45pMACS	v2
C138	C138_T_0_0_1_c1_v2	Yes	SRR15653190	C138_T_0_0_1_c1_v2_HW7JMBGX7 L003	CD45pMACS	v2
C138	C138_T_0_0_1_c1_v2	Yes	SRR15653191	C138_T_0_0_1_c1_v2_HW7JMBGX7 L004	CD45pMACS	v2
C138	C138_T_0_0_1_c2_v2	Yes	SRR15653192	C138_T_0_0_1_c2_v2_HW7JMBGX7 L001	CD45pMACS	v2
C138	C138_T_0_0_1_c2_v2	Yes	SRR15653193	C138_T_0_0_1_c2_v2_HW7JMBGX7 L002	CD45pMACS	v2
C138	C138_T_0_0_1_c2_v2	Yes	SRR15653194	C138_T_0_0_1_c2_v2_HW7JMBGX7 L003	CD45pMACS	v2
C138	C138_T_0_0_1_c2_v2	Yes	SRR15653195	C138_T_0_0_1_c2_v2_HW7JMBGX7 L004	CD45pMACS	v2
C143	C143_T_1_1_0_c1_v2	Yes	SRR15653248	C143_T_1_1_0_c1_v2_HCMKNBGX7 L001	unsorted	v2
C143	C143_T_1_1_0_c1_v2	Yes	SRR15653249	C143_T_1_1_0_c1_v2_HCMKNBGX7 L002	unsorted	v2
C143	C143_T_1_1_0_c1_v2	Yes	SRR15653250	C143_T_1_1_0_c1_v2_HCMKNBGX7 L003	unsorted	v2
C143	C143_T_1_1_0_c1_v2	Yes	SRR15653251	C143_T_1_1_0_c1_v2_HCMKNBGX7 L004	unsorted	v2
C143	C143_T_1_1_1_c1_v2	Yes	SRR15653252	C143_T_1_1_1_c1_v2_H2357BGX9 L001	CD45pMACS	v2
C143	C143_T_1_1_1_c1_v2	Yes	SRR15653253	C143_T_1_1_1_c1_v2_H2357BGX9 L002	CD45pMACS	v2
C143	C143_T_1_1_1_c1_v2	Yes	SRR15653254	C143_T_1_1_1_c1_v2_H2357BGX9 L003	CD45pMACS	v2
C143	C143_T_1_1_1_c1_v2	Yes	SRR15653255	C143_T_1_1_1_c1_v2_H2357BGX9 L004	CD45pMACS	v2
