sample	Instrument	seq_type	Bases	Instrument	LibraryLayout	patient
SRR5102469	NextSeq 500	Smart-seq2	23024352	NextSeq 500	PAIRED	Pt0
SRR5102470	NextSeq 500	Smart-seq2	17734220	NextSeq 500	PAIRED	Pt0
SRR5102471	NextSeq 500	Smart-seq2	12902216	NextSeq 500	PAIRED	Pt0
SRR5102472	NextSeq 500	Smart-seq2	15791964	NextSeq 500	PAIRED	Pt0
SRR5102473	NextSeq 500	Smart-seq2	115651620	NextSeq 500	PAIRED	Pt0
SRR5102474	NextSeq 500	Smart-seq2	32824856	NextSeq 500	PAIRED	Pt0
SRR5102475	NextSeq 500	Smart-seq2	36857036	NextSeq 500	PAIRED	Pt0
SRR5102476	NextSeq 500	Smart-seq2	32086972	NextSeq 500	PAIRED	Pt0
SRR5102477	NextSeq 500	Smart-seq2	45265752	NextSeq 500	PAIRED	Pt0
SRR5102478	NextSeq 500	Smart-seq2	20101772	NextSeq 500	PAIRED	Pt0
SRR5102479	NextSeq 500	Smart-seq2	22862396	NextSeq 500	PAIRED	Pt0
SRR5102480	NextSeq 500	Smart-seq2	26899592	NextSeq 500	PAIRED	Pt0
SRR5102481	NextSeq 500	Smart-seq2	23328884	NextSeq 500	PAIRED	Pt0
SRR5102482	NextSeq 500	Smart-seq2	14255016	NextSeq 500	PAIRED	Pt0
SRR5102483	NextSeq 500	Smart-seq2	32822044	NextSeq 500	PAIRED	Pt0
SRR5102484	NextSeq 500	Smart-seq2	56558390	NextSeq 500	PAIRED	Pt0
SRR5102485	NextSeq 500	Smart-seq2	17705188	NextSeq 500	PAIRED	Pt0
SRR5102486	NextSeq 500	Smart-seq2	22398188	NextSeq 500	PAIRED	Pt0
SRR5102487	NextSeq 500	Smart-seq2	10970600	NextSeq 500	PAIRED	Pt0
SRR5102488	NextSeq 500	Smart-seq2	17973164	NextSeq 500	PAIRED	Pt0
SRR5102489	NextSeq 500	Smart-seq2	17520584	NextSeq 500	PAIRED	Pt0
SRR5102490	NextSeq 500	Smart-seq2	25158888	NextSeq 500	PAIRED	Pt0
SRR5102491	NextSeq 500	Smart-seq2	23906332	NextSeq 500	PAIRED	Pt0
SRR5102492	NextSeq 500	Smart-seq2	39059820	NextSeq 500	PAIRED	Pt0
SRR5102493	NextSeq 500	Smart-seq2	33941980	NextSeq 500	PAIRED	Pt0
SRR5102494	NextSeq 500	Smart-seq2	31595480	NextSeq 500	PAIRED	Pt0
SRR5102495	NextSeq 500	Smart-seq2	32427220	NextSeq 500	PAIRED	Pt0
SRR5102496	NextSeq 500	Smart-seq2	21831684	NextSeq 500	PAIRED	Pt0
SRR5102497	NextSeq 500	Smart-seq2	39406000	NextSeq 500	PAIRED	Pt0
SRR5102498	NextSeq 500	Smart-seq2	45706324	NextSeq 500	PAIRED	Pt0
SRR5102499	NextSeq 500	Smart-seq2	32128164	NextSeq 500	PAIRED	Pt0
SRR5102500	NextSeq 500	Smart-seq2	24963872	NextSeq 500	PAIRED	Pt0
SRR5102501	NextSeq 500	Smart-seq2	29893688	NextSeq 500	PAIRED	Pt0
SRR5102502	NextSeq 500	Smart-seq2	34849724	NextSeq 500	PAIRED	Pt0
SRR5102503	NextSeq 500	Smart-seq2	22977916	NextSeq 500	PAIRED	Pt0
SRR5102504	NextSeq 500	Smart-seq2	24067452	NextSeq 500	PAIRED	Pt0
SRR5102505	NextSeq 500	Smart-seq2	27172660	NextSeq 500	PAIRED	Pt0
SRR5102506	NextSeq 500	Smart-seq2	42872200	NextSeq 500	PAIRED	Pt0
SRR5102507	NextSeq 500	Smart-seq2	26392748	NextSeq 500	PAIRED	Pt0
SRR5102508	NextSeq 500	Smart-seq2	15816588	NextSeq 500	PAIRED	Pt0
SRR5102509	NextSeq 500	Smart-seq2	27640440	NextSeq 500	PAIRED	Pt0
SRR5102510	NextSeq 500	Smart-seq2	23931108	NextSeq 500	PAIRED	Pt0
SRR5102511	NextSeq 500	Smart-seq2	19223668	NextSeq 500	PAIRED	Pt0
SRR5102512	NextSeq 500	Smart-seq2	24071632	NextSeq 500	PAIRED	Pt0
SRR5102513	NextSeq 500	Smart-seq2	19586112	NextSeq 500	PAIRED	Pt0
SRR5102514	NextSeq 500	Smart-seq2	19127680	NextSeq 500	PAIRED	Pt0
SRR5102515	NextSeq 500	Smart-seq2	25976648	NextSeq 500	PAIRED	Pt0
SRR5102516	NextSeq 500	Smart-seq2	33013032	NextSeq 500	PAIRED	Pt0
SRR5102517	NextSeq 500	Smart-seq2	24574620	NextSeq 500	PAIRED	Pt0
SRR5102518	NextSeq 500	Smart-seq2	20830080	NextSeq 500	PAIRED	Pt0
SRR5102519	NextSeq 500	Smart-seq2	30329928	NextSeq 500	PAIRED	Pt0
SRR5102520	NextSeq 500	Smart-seq2	12564852	NextSeq 500	PAIRED	Pt0
SRR5102521	NextSeq 500	Smart-seq2	23759120	NextSeq 500	PAIRED	Pt0
SRR5102522	NextSeq 500	Smart-seq2	17408560	NextSeq 500	PAIRED	Pt0
SRR5102523	NextSeq 500	Smart-seq2	19082080	NextSeq 500	PAIRED	Pt0
SRR5102524	NextSeq 500	Smart-seq2	18556996	NextSeq 500	PAIRED	Pt0
SRR5102525	NextSeq 500	Smart-seq2	12320360	NextSeq 500	PAIRED	Pt0
SRR5102526	NextSeq 500	Smart-seq2	24775544	NextSeq 500	PAIRED	Pt0
SRR5102527	NextSeq 500	Smart-seq2	19988380	NextSeq 500	PAIRED	Pt0
SRR5102528	NextSeq 500	Smart-seq2	35206080	NextSeq 500	PAIRED	Pt0
SRR5102529	NextSeq 500	Smart-seq2	27688776	NextSeq 500	PAIRED	Pt0
SRR5102530	NextSeq 500	Smart-seq2	32652640	NextSeq 500	PAIRED	Pt0
SRR5102531	NextSeq 500	Smart-seq2	17861900	NextSeq 500	PAIRED	Pt0
SRR5102532	NextSeq 500	Smart-seq2	45576364	NextSeq 500	PAIRED	Pt0
SRR5102533	NextSeq 500	Smart-seq2	34486748	NextSeq 500	PAIRED	Pt0
SRR5102534	NextSeq 500	Smart-seq2	39437768	NextSeq 500	PAIRED	Pt0
SRR5102535	NextSeq 500	Smart-seq2	118764136	NextSeq 500	PAIRED	Pt0
SRR5102536	NextSeq 500	Smart-seq2	100777748	NextSeq 500	PAIRED	Pt0
SRR5102537	NextSeq 500	Smart-seq2	188055540	NextSeq 500	PAIRED	Pt0
SRR5102538	NextSeq 500	Smart-seq2	135042804	NextSeq 500	PAIRED	Pt0
SRR5102539	NextSeq 500	Smart-seq2	33377470	NextSeq 500	PAIRED	Pt0
