patient	sample	cell	plate	nCount_RNA	nFeature_RNA	nCount_ERCC	nFeature_ERCC	ERCC_Conc	Condition	ExpectNumCells	Cell_Type	Cell_Type_and_Condition	percent.mt	percent.ercc
P1	S1	P2_G11_S183	P2	6063658.09	10506	5596	10	1^7	Infected	1	HCT116	HCT116-infected	35.20813209	0.092202434
P1	S1	P2_G12_S191	P2	10381049.7	13082	1351	12	1^7	Infected	1	HCT116	HCT116-infected	16.84652584	0.013012405
P1	S1	P2_H02_S112	P2	7649324.86	9917	5163	14	1^7	Infected	1	THP1	THP1-infected	7.634093213	0.067450626
P1	S1	P2_H03_S120	P2	7647388.99	10230	5745	17	1^7	Infected	1	THP1	THP1-infected	7.39314282	0.075067286
P1	S1	P2_H05_S136	P2	7889166.01	8771	8438	11	1^7	Infected	1	THP1	THP1-infected	8.205184923	0.106842531
P1	S1	P2_H06_S144	P2	6044999.15	9814	2750	14	1^7	Infected	1	THP1	THP1-infected	6.125733864	0.045471463
P1	S1	P2_H07_S152	P2	6253180.96	10748	3067	12	1^7	Infected	1	HCT116	HCT116-infected	12.96110708	0.049022993
P1	S1	P2_H08_S160	P2	88087.94	5748	48	8	1^7	Infected	1	HCT116	HCT116-infected	10.88121711	0.054461324
P1	S1	P2_H09_S168	P2	8033911.0	10265	4840	12	1^7	Infected	1	HCT116	HCT116-infected	13.07939682	0.060208358
P1	S1	P2_H10_S176	P2	7517970.74	11454	2412	11	1^7	Infected	1	HCT116	HCT116-infected	11.66050109	0.032072836
P1	S1	P2_H11_S184	P2	5821135.89	8933	6813	15	1^7	Infected	1	HCT116	HCT116-infected	11.1663698	0.116902192
P1	S1	P2_H12_S192	P2	6852634.01	8819	5570	13	1^7	Infected	1	HCT116	HCT116-infected	8.594495914	0.081216598
P1	S1	P1_A01_S1	P1	3737.0	581	39477	15	1^7	ERCC only	0	ERCC only	ERCC only	29.64677549	91.35233952
P1	S1	P1_A02_S9	P1	3073.99	937	9309	13	1^7	ERCC only	0	ERCC only	ERCC only	10.40992326	75.17570474
P1	S1	P1_A09_S65	P1	3472.0	1040	6	4	1^7	Uninfected	1	HCT116	HCT116-uninfected	10.02304147	0.172512938
P1	S1	P1_B01_S2	P1	2604.01	395	25308	13	1^7	ERCC only	0	ERCC only	ERCC only	4.646679544	90.67064679
P1	S1	P1_B02_S10	P1	933.99	238	4750	12	1^7	ERCC only	0	ERCC only	ERCC only	4.175633572	83.56805695
P1	S1	P1_B09_S66	P1	1702.0	755	0	0	1^7	Uninfected	1	HCT116	HCT116-uninfected	11.26145711	0.0
P1	S1	P1_C01_S3	P1	2545.0	367	18487	9	1^7	ERCC only	0	ERCC only	ERCC only	3.889980354	87.8993914
P1	S1	P1_C02_S11	P1	1729.0	835	13018	15	1^7	ERCC only	0	ERCC only	ERCC only	8.097165992	88.27558147
P1	S1	P1_C09_S67	P1	1466.99	736	0	0	1^7	Uninfected	1	HCT116	HCT116-uninfected	11.58835439	0.0
P1	S1	P1_D01_S4	P1	1818.0	419	17412	9	1^7	ERCC only	0	ERCC only	ERCC only	5.170517052	90.54602184
P1	S1	P1_D02_S12	P1	1605.0	684	8810	10	1^7	ERCC only	0	ERCC only	ERCC only	7.07165109	84.58953433
P1	S1	P1_D09_S68	P1	1832.01	868	3	2	1^7	Uninfected	1	HCT116	HCT116-uninfected	12.60910148	0.163486847
P1	S1	P1_E01_S5	P1	1601.0	434	22862	13	1^7	ERCC only	0	ERCC only	ERCC only	18.55090568	93.45542247
P1	S1	P1_E09_S69	P1	374.0	163	0	0	1^7	Uninfected	1	HCT116	HCT116-uninfected	12.03208556	0.0
P1	S1	P1_F01_S6	P1	1496.99	458	26522	10	1^7	ERCC only	0	ERCC only	ERCC only	8.9512956	94.65723069
P1	S1	P1_F09_S70	P1	1823.01	849	1	1	1^7	Uninfected	1	HCT116	HCT116-uninfected	11.62911887	0.054824261
P1	S1	P1_G01_S7	P1	2205.01	472	2	1	1^7	blank	0	blank	blank	8.163228285	0.090620342
P1	S1	P1_G02_S15	P1	3533.0	1103	2	1	1^7	blank	0	blank	blank	7.302575715	0.056577086
P1	S1	P1_G09_S71	P1	433.0	210	0	0	1^7	Uninfected	1	HCT116	HCT116-uninfected	14.3187067	0.0
P1	S1	P1_H01_S8	P1	2912.01	558	0	0	1^7	blank	0	blank	blank	7.314535321	0.0
P1	S1	P1_H09_S72	P1	1603.98	732	5	3	1^7	Uninfected	1	HCT116	HCT116-uninfected	14.85866407	0.310755883
P1	S1	P2_A01_S97	P2	1980.01	441	23264	12	1^7	ERCC only	0	ERCC only	ERCC only	4.999974748	92.15651555
P1	S1	P2_A04_S121	P2	23554.0	875	13155	9	1^7	Uninfected	1	THP1	THP1- uninfected	2.744671818	35.83589855
P1	S1	P2_B01_S98	P2	1569.0	385	26128	9	1^7	ERCC only	0	ERCC only	ERCC only	3.059273423	94.33512655
P1	S1	P2_B02_S106	P2	10293.0	882	7276	12	1^7	Bystander	1	THP1	THP1-bystander	2.203342077	41.41385395
P1	S1	P2_B06_S138	P2	17976.99	746	17084	14	1^7	Bystander	1	THP1	THP1-bystander	1.237637669	48.72651913
P1	S1	P2_B10_S170	P2	1990.0	692	16386	11	1^7	Bystander	1	HCT116	HCT116-bystander	9.698492462	89.17065738
P1	S1	P2_C01_S99	P2	812.99	290	14619	10	1^7	ERCC only	0	ERCC only	ERCC only	5.289117947	94.73178767
P1	S1	P2_D01_S100	P2	1452.0	343	14372	11	1^7	ERCC only	0	ERCC only	ERCC only	2.479338843	90.82406471
P1	S1	P2_D04_S124	P2	15710.0	735	10166	13	1^7	Bystander	1	THP1	THP1-bystander	0.681094844	39.28737054
P1	S1	P2_E01_S101	P2	1167.0	340	12772	13	1^7	ERCC only	0	ERCC only	ERCC only	3.427592117	91.62780687
P1	S1	P2_E08_S157	P2	1016.99	556	8	2	1^7	Infected	1	HCT116	HCT116-infected	12.68449051	0.780495419
P1	S1	P2_E09_S165	P2	93459.01	800	20835	16	1^7	Infected	1	HCT116	HCT116-infected	0.248237168	18.22930178
P1	S1	P2_F01_S102	P2	1489.99	552	18829	13	1^7	ERCC only	0	ERCC only	ERCC only	5.412788005	92.66700756
P1	S1	P2_F12_S190	P2	2408.0	1048	3	2	1^7	Infected	1	HCT116	HCT116-infected	10.67275748	0.124429697
P1	S1	P2_G01_S103	P2	1988.01	421	3	2	1^7	blank	0	blank	blank	5.482869804	0.150677294
P1	S1	P2_G04_S127	P2	16278.99	771	19039	13	1^7	Infected	1	THP1	THP1-infected	6.542174914	53.90737129
P1	S1	P2_G07_S151	P2	2354.01	614	16655	15	1^7	Infected	1	HCT116	HCT116-infected	7.646526565	87.61634614
P1	S1	P2_G08_S159	P2	1222.99	653	64	8	1^7	Infected	1	HCT116	HCT116-infected	15.38360902	4.972843612
P1	S1	P2_H01_S104	P2	1966.0	506	5	2	1^7	blank	0	blank	blank	3.819430315	0.253678336
P1	S1	P2_H04_S128	P2	17503.99	693	13706	12	1^7	Infected	1	THP1	THP1-infected	0.48846006	43.9154258
